date,open,high,low,close,volume
2002-02-18,24.47,25.49,23.9,24.845,298846.0
2002-02-19,24.85,24.98,23.5,23.52,98278.0
2002-02-20,23.5,24.5,23.35,23.63,45199.0
2002-02-21,24.085,24.25,23.5,23.665,33929.0
2002-02-22,23.805,24.84,23.8,24.69,119642.0
2002-02-25,25.5,25.5,24.005,24.255,89132.0
2002-02-26,24.12,24.58,23.41,23.62,107678.0
2002-02-27,23.6,24.095,23.31,23.69,89796.0
2002-02-28,23.91,24.49,22.9,23.36,170760.0
2002-03-01,23.2,23.9,23.1,23.65,58519.0
2002-03-04,24.075,24.075,23.1,23.62,58075.0
2002-03-05,23.41,23.99,23.41,23.705,156703.0
2002-03-06,23.6,24.1,23.405,23.515,44240.0
2002-03-07,23.57,24.0,23.53,23.665,65958.0
2002-03-08,23.735,23.85,23.13,23.445,102427.0
2002-03-11,23.31,23.69,23.16,23.275,26114.0
2002-03-12,22.91,23.3,22.91,23.075,76830.0
2002-03-13,22.925,23.5,22.92,23.475,86655.0
2002-03-14,23.59,23.595,23.225,23.485,40695.0
2002-03-15,23.495,23.6,23.355,23.495,33543.0
2002-03-18,23.8,24.0,23.21,23.93,42694.0
2002-03-19,23.8,23.9,23.41,23.54,35971.0
2002-03-20,23.21,23.7,23.21,23.505,33154.0
2002-03-21,23.44,23.68,23.255,23.38,22072.0
2002-03-22,23.6,23.7,23.245,23.38,45557.0
2002-03-26,23.26,23.385,22.94,23.035,34025.0
2002-03-27,22.855,24.14,22.855,23.85,42827.0
2002-03-28,23.71,23.9,23.55,23.66,62503.0
2002-04-01,24.15,24.15,23.025,23.365,83509.0
2002-04-02,23.58,23.65,23.325,23.485,112307.0
2002-04-03,23.305,23.39,22.44,22.845,128357.0
2002-04-04,22.85,23.2,22.465,22.51,65912.0
2002-04-05,23.875,23.875,22.415,22.485,50042.0
2002-04-08,22.85,22.85,22.45,22.51,23828.0
2002-04-09,22.65,22.8,22.525,22.605,22023.0
2002-04-10,22.875,23.0,22.475,22.695,16144.0
2002-04-11,22.62,22.65,22.28,22.395,201294.0
2002-04-12,22.4,22.4,22.24,22.32,35285.0
2002-04-15,22.7,22.9,22.06,22.15,281517.0
2002-04-16,22.5,23.0,22.01,22.395,77520.0
2002-04-17,22.795,22.795,22.33,22.505,30150.0
2002-04-18,22.5,22.9,22.37,22.725,101951.0
2002-04-19,22.98,23.2,22.42,22.645,80104.0
2002-04-22,22.3,22.84,21.975,22.175,142306.0
2002-04-23,22.4,22.9,22.35,22.475,57949.0
2002-04-24,22.68,22.68,22.4,22.495,26110.0
2002-04-25,22.31,22.46,22.025,22.23,126499.0
2002-04-26,22.395,22.5,22.215,22.425,76480.0
2002-04-29,22.12,22.265,21.86,21.98,164789.0
2002-04-30,22.1,22.1,21.85,21.96,76341.0
2002-05-02,22.045,22.1,21.66,21.83,115411.0
2002-05-03,21.9,22.0,21.56,21.65,130948.0
2002-05-06,21.7,21.815,21.65,21.77,68295.0
2002-05-07,22.075,22.135,21.655,22.035,65721.0
2002-05-08,22.2,22.21,21.9,22.115,96566.0
2002-05-09,22.2,22.27,22.05,22.19,113870.0
2002-05-10,22.025,22.295,22.0,22.185,73878.0
2002-05-13,21.51,22.2,21.51,21.94,21043.0
2002-05-14,21.9,22.195,21.88,22.03,22187.0
2002-05-15,22.2,22.3,22.1,22.185,105545.0
2002-05-16,21.13,22.25,21.13,21.655,159300.0
2002-05-17,22.11,22.11,21.605,21.905,91996.0
2002-05-20,20.055,21.85,20.055,21.69,27163.0
2002-05-21,21.2,23.12,21.2,22.36,75771.0
2002-05-22,21.9,22.0,21.615,21.835,71693.0
2002-05-23,21.5,21.89,21.315,21.42,47595.0
2002-05-24,21.6,21.95,21.46,21.8,53729.0
2002-05-27,23.0,23.0,21.46,21.98,20628.0
2002-05-28,21.98,22.39,21.9,22.215,35132.0
2002-05-29,22.055,22.35,21.95,22.14,90585.0
2002-05-30,21.9,22.5,21.875,22.25,139473.0
2002-05-31,22.3,23.225,22.15,22.94,176617.0
2002-06-03,23.1,23.5,22.6,22.845,52425.0
2002-06-04,22.6,23.145,22.12,22.485,38106.0
2002-06-05,22.505,22.505,21.815,22.34,126610.0
2002-06-06,22.01,22.5,21.8,22.22,135120.0
2002-06-07,22.3,22.3,21.62,21.715,108535.0
2002-06-10,22.15,22.15,21.87,21.99,64129.00000000001
2002-06-11,22.5,22.6,21.865,22.065,36809.0
2002-06-12,22.28,22.28,21.865,21.99,63780.0
2002-06-13,21.915,22.09,21.855,21.99,81673.0
2002-06-14,22.0,22.075,21.9,21.985,39506.0
2002-06-17,22.0,22.0,21.86,21.9,143953.0
2002-06-18,22.04,22.1,21.805,21.855,38660.0
2002-06-19,21.8,21.995,21.8,21.87,33252.0
2002-06-20,21.9,22.175,21.635,21.84,46363.0
2002-06-21,21.855,22.17,21.7,21.95,22211.0
2002-06-24,21.8,21.8,21.36,21.46,119995.0
2002-06-25,21.5,21.745,21.3,21.33,69565.0
2002-06-26,21.5,21.5,21.35,21.435,13692.0
2002-06-27,21.405,21.5,20.58,20.655,116600.0
2002-06-28,20.995,21.03,19.975,20.155,202772.0
2002-07-01,20.0,21.34,20.0,21.18,173747.0
2002-07-02,21.3,21.3,20.815,20.965,91140.0
2002-07-03,21.0,21.0,20.8,20.985,38226.0
2002-07-04,21.03,21.845,20.835,21.735,115440.0
2002-07-05,21.845,21.845,21.1,21.34,46638.0
2002-07-08,21.175,21.6,20.88,20.97,66340.0
2002-07-09,21.23,21.35,20.8,20.97,86858.0
2002-07-10,21.0,21.1,20.865,21.03,128222.0
2002-07-11,21.1,21.1,20.85,21.015,49148.0
2002-07-12,21.1,21.1,20.905,20.995,18484.0
2002-07-15,20.95,21.095,20.92,21.005,33878.0
2002-07-16,21.02,21.2,20.655,21.07,64718.0
