date,open,high,low,close,volume
2002-02-18,25.273,25.273,23.027,23.464,1271289.0
2002-02-19,23.909,23.909,22.364,22.773,509775.0
2002-02-20,22.273,22.818,22.036,22.555,290315.0
2002-02-21,22.918,24.673,22.727,23.327,869469.0
2002-02-22,23.418,25.664,23.291,25.664,1806835.0
2002-02-25,26.309,26.345,24.545,25.545,2359939.0
2002-02-26,25.864,25.909,24.182,24.527,1367109.0
2002-02-27,24.627,24.709,23.682,23.955,1003267.0
2002-02-28,24.273,24.727,22.382,22.727,2614949.0
2002-03-01,22.473,25.0,22.473,24.655,2961074.0
2002-03-04,25.055,25.164,23.9,24.364,1334585.0
2002-03-05,24.409,24.691,23.864,24.1,732058.0
2002-03-06,24.182,25.427,24.036,24.545,2186846.0
2002-03-07,24.591,24.8,23.836,24.091,1016815.0
2002-03-08,24.527,24.9,23.836,23.955,382764.0
2002-03-11,24.318,24.318,23.455,23.564,133538.0
2002-03-12,23.636,23.818,22.818,23.0,174011.0
2002-03-13,22.927,23.636,22.582,22.764,238850.0
2002-03-14,22.982,23.255,22.545,22.709,163192.0
2002-03-15,22.891,23.609,22.891,23.336,266198.0
2002-03-18,23.9,24.273,22.545,22.664,400491.0
2002-03-19,23.255,23.364,22.645,22.927,267721.0
2002-03-20,23.091,23.155,22.218,22.564,369961.0
2002-03-21,22.582,22.727,21.818,22.418,173101.0
2002-03-22,22.545,22.864,22.473,22.718,200406.0
2002-03-26,22.909,22.909,21.545,22.264,163087.0
2002-03-27,22.0,22.991,21.6,21.882,166147.0
2002-03-28,22.455,23.0,22.091,22.527,252419.0
2002-04-01,22.818,23.364,22.6,23.091,554560.0
2002-04-02,23.236,23.545,23.136,23.2,160108.0
2002-04-03,23.273,23.909,22.745,23.236,202128.0
2002-04-04,23.091,23.364,22.818,22.891,95212.0
2002-04-05,22.909,23.091,22.382,22.591,108163.0
2002-04-08,22.673,22.864,22.373,22.473,108208.0
2002-04-09,22.545,22.636,22.364,22.436,66183.0
2002-04-10,22.618,22.727,22.364,22.527,34484.0
2002-04-11,22.727,23.091,22.509,22.745,181376.0
2002-04-12,23.0,23.182,22.209,22.555,140918.0
2002-04-15,22.673,23.082,22.364,22.409,48475.0
2002-04-16,22.382,22.636,22.2,22.345,85663.0
2002-04-17,22.545,22.673,22.182,22.264,28014.0
2002-04-18,22.127,22.127,21.5,21.727,63668.0
2002-04-19,21.627,21.627,20.845,21.055,122346.0
2002-04-22,21.236,21.273,20.636,21.164,79522.0
2002-04-23,21.273,21.436,20.636,20.727,61112.0
2002-04-24,21.073,21.073,20.727,20.982,44861.0
2002-04-25,20.909,21.0,20.2,20.4,40995.0
2002-04-26,20.891,21.255,20.318,20.745,145123.0
2002-04-29,20.864,21.173,20.182,20.309,84650.0
2002-04-30,20.718,20.718,20.236,20.482,53617.0
2002-05-02,21.073,21.073,20.273,20.364,132475.0
2002-05-03,20.455,21.245,20.364,20.882,115795.0
2002-05-06,21.291,21.636,20.909,21.009,420004.0
2002-05-07,21.455,22.9,21.273,22.573,403069.0
2002-05-08,22.545,23.818,22.455,23.673,544910.0
2002-05-09,24.645,25.445,23.909,24.373,512056.0
2002-05-10,24.709,25.091,24.364,24.891,686790.0
2002-05-13,25.064,25.855,24.891,25.327,595391.0
2002-05-14,25.464,26.427,25.436,26.182,728471.0
2002-05-15,26.909,28.173,25.827,26.173,854845.0
2002-05-16,25.818,25.818,25.0,25.609,550308.0
2002-05-17,25.645,25.8,25.364,25.545,800166.0
2002-05-20,25.455,25.709,24.636,25.3,203532.0
2002-05-21,24.818,25.627,24.182,25.282,265840.0
2002-05-22,24.909,25.455,23.473,24.164,190345.0
2002-05-23,24.018,24.636,23.309,23.627,176870.0
2002-05-24,23.727,24.545,23.655,24.209,74178.0
2002-05-27,24.636,24.709,23.573,23.791,60837.0
2002-05-28,24.0,24.364,23.273,23.5,65026.0
2002-05-29,23.9,23.9,23.273,23.427,52606.0
2002-05-30,23.582,23.973,23.182,23.727,61532.0
2002-05-31,24.0,25.545,23.927,25.136,312682.0
2002-06-03,25.536,26.909,24.855,25.018,233633.0
2002-06-04,25.245,25.4,24.236,24.455,81517.0
2002-06-05,24.973,26.0,24.764,25.891,295533.0
2002-06-06,26.545,29.3,25.636,27.545,1299140.0
2002-06-07,27.273,27.982,27.273,27.473,406802.0
2002-06-10,27.982,28.527,27.455,27.964,244723.0
2002-06-11,28.727,29.727,28.091,29.409,559873.0
2002-06-12,29.136,29.891,27.636,28.955,520149.0
2002-06-13,28.891,28.891,26.182,27.527,650400.0
2002-06-14,27.545,27.818,26.1,26.236,485212.0
2002-06-17,26.364,27.273,26.364,26.818,464375.0
2002-06-18,27.264,27.427,26.636,26.827,511264.0
2002-06-19,26.982,27.182,25.955,26.045,204021.0
2002-06-20,26.164,26.809,25.818,26.473,425748.0
2002-06-21,26.364,26.364,25.036,25.391,675889.0
2002-06-24,25.455,25.909,25.191,25.636,228967.0
2002-06-25,25.727,26.091,25.2,25.373,141991.0
2002-06-26,25.6,25.918,24.836,25.055,181057.0
2002-06-27,24.909,25.227,24.209,24.345,348126.0
2002-06-28,24.718,25.455,24.5,25.036,471646.0
2002-07-01,25.418,25.818,24.818,25.127,372280.0
2002-07-02,25.455,27.636,25.236,26.745,1008428.0
2002-07-03,26.727,28.182,26.645,28.091,1044594.0
2002-07-04,28.182,28.8,27.036,27.391,708473.0
2002-07-05,27.091,27.864,26.945,27.673,592916.0
2002-07-08,27.882,27.891,27.173,27.245,380485.0
2002-07-09,27.4,27.682,26.927,27.091,186691.0
2002-07-10,27.236,27.273,26.909,26.991,275202.0
2002-07-11,27.082,27.082,26.545,26.791,264500.0
2002-07-12,27.273,27.409,26.673,26.791,86371.0
2002-07-15,26.891,26.909,26.182,26.373,97388.0
2002-07-16,26.182,26.364,25.9,26.145,254644.0
2002-07-17,26.182,26.491,26.0,26.327,225953.0
2002-07-18,26.382,26.536,26.182,26.355,195638.0
2002-07-19,26.0,27.273,25.455,26.464,802232.0
2002-07-22,26.182,26.364,25.655,26.273,334955.0
2002-07-23,26.345,26.509,26.109,26.4,468532.0
2002-07-24,26.018,26.227,25.573,25.745,347113.0
2002-07-25,26.364,26.691,25.218,25.409,373700.0
2002-07-26,24.909,25.136,24.6,24.964,245419.0
2002-07-29,25.182,26.182,24.545,25.782,363464.0
2002-07-30,26.527,26.527,24.545,25.082,654785.0
2002-07-31,24.818,25.818,24.418,25.564,315450.0
2002-08-01,25.8,26.518,25.591,26.318,454759.0
2002-08-02,26.364,26.364,23.655,25.573,179498.0
2002-08-05,25.455,25.636,24.691,24.927,281868.0
2002-08-06,24.9,25.018,24.536,24.791,270571.0
2002-08-07,25.091,25.364,24.645,24.873,191564.0
2002-08-08,24.927,25.0,24.573,24.682,160273.0
2002-08-09,24.636,24.727,24.482,24.664,248886.0
2002-08-12,24.545,24.891,24.227,24.427,85003.0
2002-08-13,24.545,24.727,24.0,24.418,135867.0
2002-08-14,24.473,24.727,23.918,24.055,104287.0
2002-08-16,24.091,24.527,24.091,24.4,75713.0
2002-08-19,24.373,24.818,24.373,24.709,54018.0
2002-08-20,25.082,25.091,24.5,24.545,97071.0
2002-08-21,24.545,24.682,24.509,24.6,59304.0
2002-08-22,24.545,24.545,24.091,24.436,197926.0
2002-08-23,24.364,25.636,24.364,25.336,362260.0
2002-08-26,25.618,26.0,25.191,25.336,268427.0
2002-08-27,25.582,25.727,25.0,25.409,389652.0
2002-08-28,25.245,25.982,25.2,25.318,325958.0
2002-08-29,25.318,25.455,25.027,25.255,123718.0
2002-08-30,25.636,26.264,25.455,26.109,366953.0
2002-09-02,26.182,26.455,25.682,25.864,101807.0
2002-09-03,25.655,25.909,25.318,25.527,56632.0
2002-09-04,25.127,25.436,25.073,25.345,41051.0
2002-09-05,25.618,25.636,25.182,25.482,111246.0
2002-09-06,25.5,26.2,25.273,25.982,263787.0
2002-09-09,26.073,26.091,24.727,25.7,212509.0
2002-09-11,25.973,26.436,25.909,26.182,181419.0
2002-09-12,26.382,26.545,25.918,26.182,276960.0
2002-09-13,23.909,26.473,23.909,26.055,127140.0
2002-09-16,26.164,26.173,25.636,25.955,352063.0
2002-09-17,25.745,26.182,25.736,26.136,156768.0
2002-09-18,25.982,26.364,25.745,26.245,144051.0
2002-09-19,26.182,26.818,26.045,26.573,300538.0
2002-09-20,25.455,26.136,25.0,25.609,294494.0
2002-09-23,25.464,25.618,25.091,25.091,179825.0
2002-09-24,24.636,25.455,24.018,25.236,244379.0
2002-09-25,25.273,25.273,24.818,24.909,140987.0
2002-09-26,25.0,26.145,24.045,24.609,2527167.0
2002-09-27,24.545,25.818,24.545,25.091,1183261.0
2002-09-30,25.091,25.727,24.891,25.509,799553.0
2002-10-01,25.318,26.473,25.109,26.336,730817.0
2002-10-03,26.273,26.364,25.645,25.836,276429.0
2002-10-04,25.818,26.218,25.455,26.064,210499.0
2002-10-07,26.182,26.182,25.682,26.036,118854.0
2002-10-08,26.0,26.0,25.109,25.182,172190.0
2002-10-09,25.436,25.518,24.736,24.855,197169.0
2002-10-10,25.0,25.0,24.545,24.564,283619.0
2002-10-11,25.0,25.345,24.755,25.073,190147.0
2002-10-14,25.2,25.545,24.909,25.2,140465.0
2002-10-16,25.545,25.636,24.782,25.036,108554.0
2002-10-17,25.127,25.273,24.618,24.855,154445.0
2002-10-18,24.9,24.909,23.2,23.555,526111.0
2002-10-21,24.0,24.082,23.518,23.818,309974.0
2002-10-22,24.327,24.327,22.909,23.1,361800.0
2002-10-23,23.364,23.809,23.136,23.636,214344.0
2002-10-24,23.818,23.818,22.309,22.464,733391.0
2002-10-25,22.727,23.455,22.455,23.0,478455.0
2002-10-28,23.227,24.164,23.091,23.918,414922.0
2002-10-29,23.827,24.818,23.827,24.545,689289.0
2002-10-30,24.709,24.709,23.845,24.073,267137.0
2002-10-31,24.364,24.773,24.364,24.527,616855.0
2002-11-01,24.545,24.836,23.409,23.9,545808.0
2002-11-04,24.327,24.327,23.827,23.909,55037.0
2002-11-05,23.727,24.082,23.636,23.664,44667.0
2002-11-07,23.745,23.745,22.427,22.636,969309.0
2002-11-08,22.873,22.873,21.818,21.991,395500.0
2002-11-11,22.073,22.455,21.645,22.0,668975.0
2002-11-12,22.018,22.182,20.964,21.291,907174.0
2002-11-13,21.282,21.455,19.891,20.1,2286471.0
2002-11-14,20.273,21.764,20.218,21.536,2558314.0
2002-11-15,21.818,22.145,21.709,21.827,947992.0
2002-11-18,21.818,22.7,21.818,22.327,824994.0
2002-11-20,22.182,22.327,21.664,21.891,780982.0
2002-11-21,22.018,22.164,21.709,21.945,227003.0
2002-11-22,22.727,23.755,22.636,23.518,1107300.0
2002-11-25,23.636,25.655,23.636,25.036,2273161.0
2002-11-26,25.091,25.4,24.555,24.818,858631.0
2002-11-27,24.727,25.391,24.2,24.518,498341.0
2002-11-28,25.0,25.236,24.018,24.236,340129.0
2002-11-29,24.527,24.591,24.091,24.209,321252.0
2002-12-02,24.0,24.482,23.636,24.327,397068.0
2002-12-03,24.527,24.636,23.691,23.836,380376.0
2002-12-04,24.0,24.182,23.727,23.982,466722.0
2002-12-05,23.727,24.627,23.727,24.527,610153.0
2002-12-06,24.627,24.973,24.364,24.491,398927.0
2002-12-09,24.709,24.909,24.264,24.718,317733.0
2002-12-10,24.364,24.691,24.209,24.309,103674.0
2002-12-11,24.627,25.018,24.182,24.927,467298.0
2002-12-12,25.273,26.245,25.273,25.773,1241484.0
2002-12-13,26.0,27.355,25.991,27.182,1559243.0
2002-12-16,27.636,27.9,26.655,26.773,1113931.0
2002-12-17,26.482,27.0,25.827,26.036,1193957.0
2002-12-18,26.445,26.473,25.655,25.918,1690317.0
2002-12-19,25.818,25.891,25.182,25.591,657605.0
2002-12-20,25.636,25.818,25.336,25.436,678291.0
2002-12-23,25.818,26.036,25.564,25.882,1059445.0
2002-12-24,25.818,26.836,25.573,25.864,1368634.0
2002-12-26,25.982,26.155,25.455,25.527,291450.0
2002-12-27,25.636,26.273,25.636,26.073,481552.0
2002-12-30,26.164,26.164,25.455,26.009,225177.0
2002-12-31,25.727,26.164,25.445,25.545,293505.0
2003-01-01,25.718,25.818,25.445,25.527,163691.0
2003-01-02,25.636,25.782,25.191,25.264,320857.0
2003-01-03,25.436,25.436,24.782,24.864,205950.0
2003-01-06,25.073,25.073,24.091,24.218,462220.0
2003-01-07,24.491,24.636,23.936,24.118,449663.0
2003-01-08,24.345,24.464,23.955,24.2,578890.0
2003-01-09,24.245,24.709,24.227,24.364,1208707.0
2003-01-10,24.636,25.527,24.382,25.245,1146687.0
2003-01-13,25.627,26.055,25.473,25.736,854317.0
2003-01-14,25.818,25.855,25.127,25.555,725122.0
2003-01-15,25.273,25.982,25.273,25.836,484014.0
2003-01-16,25.964,26.627,25.864,26.227,981819.0
2003-01-17,26.236,26.818,26.118,26.282,865300.0
2003-01-20,26.255,26.809,26.0,26.127,386426.0
2003-01-21,26.291,27.345,26.291,27.218,1166382.0
2003-01-22,27.455,27.973,26.755,27.264,1464582.0
2003-01-23,27.391,27.391,25.845,26.127,770415.0
2003-01-24,26.255,27.345,26.255,26.882,1546238.0
2003-01-27,26.727,26.909,26.191,26.627,489796.0
2003-01-28,26.727,27.309,26.364,27.045,843315.0
2003-01-29,27.391,27.455,26.927,27.155,557424.0
2003-01-30,27.109,28.355,26.909,27.264,1627771.0
2003-01-31,27.273,27.909,27.091,27.255,1887985.0
2003-02-03,27.4,27.4,26.555,26.827,497949.0
2003-02-04,27.182,27.636,26.745,26.873,779549.0
2003-02-05,26.591,26.909,26.145,26.245,883561.0
2003-02-06,26.455,27.264,26.282,26.755,900045.0
2003-02-07,26.727,26.727,26.091,26.118,843568.0
2003-02-10,26.182,26.191,25.355,25.736,685341.0
2003-02-11,25.909,26.273,25.818,26.118,281166.0
2003-02-12,26.191,26.682,26.182,26.5,816279.0
2003-02-14,26.227,27.009,24.545,26.836,1221746.0
2003-02-17,27.091,27.409,26.645,26.718,291399.0
2003-02-18,27.0,27.091,26.618,26.882,696811.0
2003-02-19,26.909,27.364,26.773,27.264,636560.0
2003-02-20,27.718,27.818,26.982,27.164,975090.0
2003-02-21,27.091,27.273,26.545,27.227,461639.0
2003-02-24,27.273,27.273,27.045,27.209,259482.0
2003-02-25,26.982,27.182,26.909,27.064,242864.0
2003-02-26,27.055,27.318,26.727,27.091,565315.0
2003-02-27,26.727,27.309,26.727,27.264,509204.0
2003-02-28,27.473,27.818,26.782,27.145,907936.0
2003-03-03,27.364,27.655,27.091,27.227,674331.0
2003-03-04,27.418,27.418,27.009,27.245,585404.0
2003-03-05,26.827,27.173,26.464,26.618,267485.0
2003-03-06,26.545,26.809,25.909,26.055,314736.0
2003-03-07,25.955,25.955,25.545,25.645,241741.0
2003-03-10,25.727,25.991,25.291,25.791,523546.0
2003-03-11,25.091,25.955,25.091,25.873,703611.0
2003-03-12,25.818,25.891,25.318,25.673,468946.0
2003-03-13,25.573,25.827,24.891,25.136,694142.0
2003-03-17,25.091,25.264,24.436,24.545,503910.0
2003-03-19,25.1,25.309,24.818,25.018,1143217.0
2003-03-20,24.818,25.473,24.818,25.327,582939.0
2003-03-21,25.364,25.5,25.182,25.382,920356.0
2003-03-22,25.545,25.691,25.455,25.609,88661.0
2003-03-24,25.455,25.455,24.782,24.891,368600.0
2003-03-25,24.709,24.864,24.427,24.682,228852.0
2003-03-26,24.818,25.136,24.5,24.573,1083419.0
2003-03-27,24.545,24.827,24.0,24.164,1434240.0
2003-03-28,24.191,24.582,24.1,24.418,1727500.0
2003-03-31,24.364,24.527,24.018,24.318,617110.0
2003-04-01,24.182,24.727,23.845,24.445,852750.0
2003-04-02,24.545,24.545,24.182,24.255,298313.0
2003-04-03,24.545,24.709,24.327,24.518,395561.0
2003-04-04,24.545,25.073,24.455,24.791,657968.0
2003-04-07,25.091,25.373,25.091,25.255,611575.0
2003-04-08,25.182,25.273,24.773,24.9,577294.0
2003-04-09,24.318,24.445,23.836,24.064,599542.0
2003-04-10,24.0,24.564,23.845,24.445,714039.0
2003-04-11,24.455,24.455,23.555,23.827,654627.0
2003-04-15,23.636,24.5,22.645,24.355,1436923.0
2003-04-16,24.182,24.545,24.1,24.473,558014.0
2003-04-17,24.436,24.545,23.864,24.255,740781.0
2003-04-21,24.091,24.345,24.036,24.118,190585.0
2003-04-22,24.127,24.445,23.973,24.073,731375.0
2003-04-23,24.091,24.182,23.636,23.718,321706.0
2003-04-24,23.727,24.155,23.518,23.673,881093.0
2003-04-25,23.8,24.527,23.273,24.009,1699124.0
2003-04-28,24.264,24.482,23.527,23.655,1046375.0
2003-04-29,23.818,23.909,23.391,23.636,1138749.0
2003-04-30,23.636,23.636,21.645,22.027,3105885.0
2003-05-02,22.364,22.436,21.882,22.127,1854322.0
2003-05-05,22.364,22.527,21.818,21.964,1681723.0
2003-05-06,21.945,22.218,21.845,21.964,1442794.0
2003-05-07,22.0,22.227,21.691,22.027,2474343.0
2003-05-08,22.082,22.873,22.082,22.736,1353471.0
2003-05-09,22.727,22.964,22.545,22.7,878279.0
2003-05-12,22.727,23.2,22.727,23.145,656749.0
2003-05-13,23.145,23.245,22.8,22.936,602575.0
2003-05-14,23.0,23.364,22.882,23.155,358361.0
2003-05-15,23.636,23.982,23.182,23.818,1416776.0
2003-05-16,24.527,24.745,23.736,24.618,1759550.0
2003-05-19,24.727,25.364,24.682,25.1,1429640.0
2003-05-20,24.927,25.0,24.664,24.791,634054.0
2003-05-21,24.782,25.445,24.782,25.236,687857.0
2003-05-22,25.182,25.436,23.709,23.909,923094.0
2003-05-23,24.182,24.3,23.764,23.909,535819.0
2003-05-26,24.173,25.182,23.864,25.055,1000583.0
2003-05-27,25.345,25.345,24.455,24.745,673594.0
2003-05-28,24.536,25.091,24.536,24.991,708603.0
2003-05-29,25.636,25.636,24.455,24.855,870488.0
2003-05-30,24.927,25.8,24.855,25.082,1060094.0
2003-06-02,25.091,25.527,24.555,25.036,936744.0
2003-06-03,25.0,25.409,24.8,24.982,736324.0
2003-06-04,25.273,26.173,25.118,25.736,1352711.0
2003-06-05,26.164,26.345,25.555,25.7,831554.0
2003-06-06,25.636,25.982,25.636,25.773,298633.0
2003-06-09,25.909,26.045,25.418,25.536,442104.0
2003-06-10,25.273,26.364,24.664,24.864,1609008.0
2003-06-11,25.0,25.264,24.655,24.991,563552.0
2003-06-12,25.245,25.364,24.927,25.073,518071.0
2003-06-13,25.273,26.082,25.218,25.955,1258270.0
