symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
20MICRONS,Success,0.011721800000486837,0.16190039999946748,0.0007541000004493981,4.8996446999999534,5.074255300000004,2008-10-06 09:15:00,2025-06-26 09:15:00,4130 days 00:00:00,100000.0,202084.664003,102.084664,1268.736917,100.0,3803.493476,34.819272,1671 days 00:00:00,9.0,9.0,0.0,0.0,44.444444,55.292314,-13.43651,40.799199,-12.163431,72 days 12:00:00,26 days 04:48:00,1.673714,11342.740445,0.417942,0.184233,1.241155,0.788946
21STCENMGM,Success,0.004729600000246137,0.0085081999995964,0.0006399000003511901,0.21920099999988452,0.233280399999785,2018-01-11 09:15:00,2025-06-26 09:15:00,1821 days 00:00:00,100000.0,79608.889702,-20.39111,83.233522,100.0,714.273427,21.644605,1671 days 00:00:00,4.0,4.0,0.0,0.0,0.0,-4.795618,-6.537316,,-5.544838,,8 days 06:00:00,0.0,-5097.777574,-1.097234,-0.206426,0.378136,-1.275805
360ONE,Success,0.004611099999237922,0.007869000000027881,0.0005783999995401246,0.03176149999944755,0.045087299999977404,2019-09-19 09:15:00,2025-06-26 09:15:00,1432 days 00:00:00,100000.0,165307.777838,65.307778,266.737505,100.0,1735.170834,12.327507,650 days 00:00:00,7.0,7.0,0.0,0.0,57.142857,27.994741,-10.860992,22.618025,-9.849133,25 days 12:00:00,11 days 16:00:00,2.728592,9329.682548,0.964965,1.108786,1.527614,1.738146
3IINFOLTD,Success,0.008485299999847484,0.008134400000017195,0.0007078999997247593,0.03194860000076005,0.04946289999952569,2005-04-22 09:15:00,2025-06-26 09:15:00,4951 days 00:00:00,100000.0,161553.672083,61.553672,-94.797146,100.0,4953.453402,56.478222,1128 days 00:00:00,15.0,15.0,0.0,0.0,40.0,44.796421,-20.24706,35.205233,-13.611637,41 days 00:00:00,56 days 13:20:00,1.280048,4103.578139,0.265696,0.063732,1.104439,0.443729
3MINDIA,Success,0.01011930000004213,0.00827949999984412,0.0008696000004420057,0.03208069999982399,0.051538499999878695,1995-01-23 09:15:00,2025-06-26 09:15:00,7311 days 00:00:00,100000.0,208914.404368,108.914404,13521.428571,100.0,6883.563947,31.324473,1784 days 00:00:00,21.0,21.0,0.0,0.0,38.095238,37.526333,-10.087156,24.012373,-7.145412,34 days 21:00:00,18 days 14:46:09,1.71212,5186.400208,0.377234,0.11961,1.242355,0.647148
3PLAND,Success,0.007852199999433651,0.00788490000013553,0.000582100000428909,0.03103090000058728,0.04754600000069331,2008-03-28 09:15:00,2025-06-26 09:15:00,3380 days 00:00:00,100000.0,61939.147649,-38.060852,157.48913,100.0,1493.498325,48.95366,2193 days 00:00:00,10.0,10.0,0.0,0.0,20.0,44.78368,-20.065875,43.01277,-13.760151,12 days 12:00:00,10 days 21:00:00,0.575829,-3806.085235,-0.144971,-0.102981,0.86252,-0.275235
5PAISA,Success,0.004311700000471319,0.008727700000235927,0.0006950000006327173,0.0305170999999973,0.04443100000025879,2017-11-16 09:15:00,2025-06-26 09:15:00,1885 days 00:00:00,100000.0,53571.585488,-46.428415,77.755281,100.0,1644.969124,63.898721,1752 days 00:00:00,9.0,9.0,0.0,0.0,11.111111,41.139555,-14.271446,41.139555,-11.394189,61 days 00:00:00,15 days 06:00:00,0.469552,-5158.712724,-0.650974,-0.178156,0.745062,-0.867555
63MOONS,Success,0.008884500000021944,0.008022399999390473,0.0009584999997969135,0.032453699999678065,0.050527100000181235,2006-11-02 09:15:00,2025-06-26 09:15:00,4609 days 00:00:00,100000.0,39513.025756,-60.486974,-41.222956,100.0,1026.198742,72.119902,3821 days 00:00:00,8.0,8.0,0.0,0.0,0.0,-6.659602,-16.876092,,-10.910309,,56 days 09:00:00,0.0,-7560.871781,-0.399401,-0.098302,0.836001,-0.527507
A2ZINFRA,Success,0.007558700000117824,0.008058800000071642,0.0007287999997060979,0.03192330000001675,0.04847539999991568,2010-12-23 09:15:00,2025-06-26 09:15:00,3588 days 00:00:00,100000.0,83336.449644,-16.66355,-93.967432,100.0,1666.394512,47.566462,1199 days 00:00:00,9.0,9.0,0.0,0.0,33.333333,38.714977,-23.7428,29.118431,-14.325645,24 days 16:00:00,37 days 16:00:00,0.804366,-1851.505595,0.004301,-0.038625,1.002074,0.006578
AAATECH,Success,0.0027345000007699127,0.00846220000039466,0.0006221000003279187,0.20880030000080296,0.2208277999998245,2022-11-28 09:15:00,2025-06-26 09:15:00,641 days 00:00:00,100000.0,85985.125748,-14.014874,5.879365,100.0,274.281253,17.559197,170 days 00:00:00,2.0,1.0,1.0,-1205.363768,0.0,-12.82232,-12.82232,,-12.82232,,12 days 00:00:00,0.0,-12809.510484,-1.030246,-0.469201,0.393584,-1.161085
