Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
ASTRAMICRO,File 1 (vectorbt),-11.25506,26.409761,37.285161,-0.057906,60146.355442,-2490.852785,62.535697,0.947986,,0.609046,-0.112497,-0.178081,16.0,2188.42274,,-39.853645,16.0,25.0,-19.949264
ASTRAMICRO,File 2 (custom),-10.687856,23.434726,26.237689,-0.064232,36941.360509,-3709.331735,75.752154,0.871626,,0.267723,-0.273201,-0.151815,17.0,795.748294,,-63.058639,17.0,17.647059,-17.471163
INDUSTOWER,File 1 (vectorbt),-11.601669,21.743133,29.330681,0.395375,208303.706264,15471.958038,23.497585,1.469094,,3.865279,0.761462,1.179451,,2074.317944,,108.303706,,,-12.983907
INDUSTOWER,File 2 (custom),-9.081817,21.843585,29.680333,0.308542,218225.000829,16889.285833,21.84398,1.52684,,4.874221,0.686856,0.293954,,1122.880524,,118.225001,,,-9.573172
V2RETAIL,File 1 (vectorbt),-15.540681,,-10.919008,-0.160866,42613.180396,-11477.363921,57.479461,0.775147,,,-0.452082,-0.637305,5.0,667.087416,,-57.38682,5.0,,-23.396531
V2RETAIL,File 2 (custom),-14.620255,,-10.209739,-0.118311,37750.723564,-10374.879406,62.249276,0.752273,,,-0.4259,-0.180046,6.0,349.022111,,-62.249276,6.0,,-26.379863
MAHLIFE,File 1 (vectorbt),-10.597626,39.110128,52.980857,0.070058,134929.054919,3881.006102,37.024444,1.145028,,1.408379,0.247641,0.399513,9.0,2208.564284,,34.929055,9.0,33.333333,-19.884214
MAHLIFE,File 2 (custom),-8.437191,37.42779,49.465393,0.067347,135986.010755,3598.601076,27.181646,1.150252,,1.414801,0.216383,0.124635,10.0,1370.811609,,35.986011,10.0,30.0,-9.663359
PCBL,File 1 (vectorbt),-14.532791,38.403917,63.765201,0.001385,101724.969489,114.997966,65.329819,1.055771,,1.012989,0.084539,0.126472,,2458.75645,,1.724969,,,-26.157129
PCBL,File 2 (custom),-13.479253,32.851419,40.99701,-0.003814,93181.983637,-454.534424,67.539177,1.03443,,0.942913,0.044739,0.015721,,1197.394522,,-6.818016,,,-19.350062
RAJSREESUG,File 1 (vectorbt),-15.039481,60.095829,88.705878,-0.101061,24434.740658,-4722.828709,76.756664,0.882868,,0.45617,-0.241136,-0.339059,,1930.849876,,-75.565259,,12.5,-32.818966
RAJSREESUG,File 2 (custom),-13.092681,64.199184,84.652151,-0.021702,66043.460787,-2122.283701,75.005823,1.002843,,0.865763,0.005009,0.002542,,2263.975734,,-33.956539,,18.75,-19.892295
LYKALABS,File 1 (vectorbt),-16.456936,53.269174,84.05882,0.048239,168224.408372,4013.200492,65.044217,1.122715,,1.249323,0.24698,0.416453,,5047.304256,,68.224408,,35.294118,-28.908309
LYKALABS,File 2 (custom),-14.295906,51.833624,71.232584,0.17485,653680.036533,32569.413914,45.77266,1.276997,,1.707057,0.467499,0.321393,,9305.27984,,553.680037,,47.058824,-24.496878
MAGNUM,File 1 (vectorbt),-16.685517,43.014464,53.440799,0.028183,116743.632796,2092.954099,51.215226,1.148213,,1.228851,0.168536,0.313739,,1312.688851,,16.743633,,,-19.434753
MAGNUM,File 2 (custom),-15.87421,40.983567,47.663141,0.018322,115776.391069,1972.048884,51.339099,1.182209,,1.221349,0.13687,0.045677,,673.043838,,15.776391,,,-19.318134
NMDC,File 1 (vectorbt),-7.924056,36.902463,48.839028,0.113365,155112.245436,6123.582826,34.293544,1.125394,,1.713231,0.311152,0.522119,9.0,2756.015168,,55.112245,9.0,33.333333,-11.039873
NMDC,File 2 (custom),-9.100829,22.384348,26.394783,-0.044479,68024.029753,-3197.597025,51.368259,0.931259,,0.475228,-0.150538,-0.082503,10.0,743.108063,,-31.97597,10.0,20.0,-15.943141
SPECIALITY,File 1 (vectorbt),-11.479377,28.302864,33.551445,0.05914,113941.741189,2788.348238,25.766533,1.112104,,1.336557,0.176407,0.294043,,1132.869224,,13.941741,,,-13.218345
SPECIALITY,File 2 (custom),-10.864096,27.999859,33.005992,0.044555,114647.307438,2929.461488,24.677934,1.116341,,1.368164,0.151198,0.070167,,574.096931,,14.647307,,,-12.523695
SEPC,File 1 (vectorbt),-15.087064,40.717712,47.962532,-0.094971,45181.972955,-4983.457004,70.117364,0.867255,,0.497691,-0.28066,-0.457493,,1649.254958,,-54.818027,,,-19.35421
SEPC,File 2 (custom),-14.327005,35.666522,43.154052,-0.066953,44462.151072,-5048.895357,70.766575,0.86052,,0.466558,-0.23057,-0.126299,,793.870554,,-55.537849,,,-18.387045
SUBEXLTD,File 1 (vectorbt),-11.946905,24.032759,29.531735,-0.052592,62855.154369,-4127.20507,59.71986,0.86891,,0.590125,-0.200327,-0.287983,,1904.203988,,-37.144846,,,-16.676955
SUBEXLTD,File 2 (custom),-11.666343,24.333973,27.712817,-0.036366,63446.040063,-4061.551104,58.728147,0.869535,,0.59511,-0.16095,-0.054634,,929.906962,,-36.55396,,,-17.593152
MCLEODRUSS,File 1 (vectorbt),-10.220761,43.721878,44.774036,-0.03742,77532.731037,-2042.478997,50.752717,0.967557,,0.668192,-0.067346,-0.098199,,1444.871761,,-22.467269,,,-19.711863
MCLEODRUSS,File 2 (custom),-9.536115,40.263591,41.560364,-0.026564,77589.760276,-2037.29452,49.365157,0.963054,,0.654922,-0.062612,-0.028071,,724.186556,,-22.41024,,,-18.23159
ECLERX,File 1 (vectorbt),-8.613464,27.616408,39.577154,0.549868,403840.10144,21702.864389,23.544044,1.853944,,3.589148,0.956117,2.036088,,5864.811341,,303.840101,,57.142857,-13.42923
ECLERX,File 2 (custom),-7.973932,28.157721,36.996846,0.235177,304964.843682,14640.345977,29.529467,1.553824,,2.853899,0.624223,0.334134,,2626.494696,,204.964844,,50.0,-12.626038
