Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Benchmark Return [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Max Gross Exposure [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Start Value,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
20MICRONS,File 1 (vectorbt),-12.163431,40.799199,,55.292314,0.184233,202084.664003,11342.740445,34.819272,,1.241155,,1.673714,0.417942,0.788946,,,3803.493476,,102.084664,,,-13.43651
20MICRONS,File 2 (custom),-12.051479,40.858241,,55.336877,0.123852,200180.619573,11131.179953,34.92728,,1.23832,,1.661304,0.34385,0.222445,,,1942.920173,,100.18062,,,-13.323286
21STCENMGM,File 1 (vectorbt),-5.544838,,,-4.795618,-0.206426,79608.889702,-5097.777574,21.644605,,0.378136,,,-1.097234,-1.275805,,,714.273427,,-20.39111,,,-6.537316
21STCENMGM,File 2 (custom),-5.244866,,,-4.691027,-0.14307,79970.396728,-5007.400818,21.288618,,0.382863,,,-0.902383,-0.401878,,,347.830702,,-20.029603,,,-5.652455
360ONE,File 1 (vectorbt),-9.849133,22.618025,,27.994741,1.108786,165307.777838,9329.682548,12.327507,,1.527614,,2.728592,0.964965,1.738146,,,1735.170834,,65.307778,,,-10.860992
360ONE,File 2 (custom),-9.739493,22.009921,,28.066574,0.69795,160231.104526,8604.443504,12.393839,,1.496105,,2.607754,0.763133,0.482531,,,880.392657,,60.231105,,,-10.750342
3IINFOLTD,File 1 (vectorbt),-13.611637,35.205233,,44.796421,0.063732,161553.672083,4103.578139,56.478222,,1.104439,,1.280048,0.265696,0.443729,,,4953.453402,,61.553672,,,-20.24706
3IINFOLTD,File 2 (custom),-13.498239,33.553717,,44.85147,0.035147,147196.328738,3146.421916,56.539658,,1.092494,,1.222464,0.196463,0.154434,,,2407.357209,,47.196329,,,-20.127033
3MINDIA,File 1 (vectorbt),-7.145412,24.012373,,37.526333,0.11961,208914.404368,5186.400208,31.324473,,1.242355,,1.71212,0.377234,0.647148,,,6883.563947,,108.914404,,,-10.087156
3MINDIA,File 2 (custom),-6.84905,23.867991,,35.827088,0.082939,207419.750741,5115.226226,30.704769,,1.24494,,1.726232,0.315494,0.151,,,3408.964518,,107.419751,,,-9.501241
3PLAND,File 1 (vectorbt),-13.760151,43.01277,,44.78368,-0.102981,61939.147649,-3806.085235,48.95366,,0.86252,,0.575829,-0.144971,-0.275235,,,1493.498325,,-38.060852,,,-20.065875
