symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
20MICRONS,Success,0.01211310000053345,0.0002887999999074964,0.0010775999999168562,0.787103699999534,0.9821039999997083,2008-10-06 09:15:00,2025-06-26 09:15:00,6107 days 00:00:00,100000.0,200180.619573,100.18062,1268.736917,100.0,1942.920173,34.92728,1374 days 00:00:00,9,9,0,0.0,44.444444,55.336877,-13.323286,40.858241,-12.051479,108 days 12:00:00,39 days 00:00:00,1.661304,11131.179953,0.34385,0.123852,1.23832,0.222445
21STCENMGM,Success,0.00503740000021935,0.00021149999975023093,0.0005238999992798199,0.0003052000001844135,0.008426500000496162,2018-01-11 09:15:00,2025-06-26 09:15:00,2723 days 00:00:00,100000.0,79970.396728,-20.029603,83.233522,100.0,347.830702,21.288618,2495 days 00:00:00,4,4,0,0.0,0.0,-4.691027,-5.652455,0.0,-5.244866,0 days 00:00:00,12 days 12:00:00,0.0,-5007.400818,-0.902383,-0.14307,0.382863,-0.401878
360ONE,Success,0.003949400000237802,0.00017150000076071592,0.000457500000266009,3.120000019407598e-05,0.006288300000051095,2019-09-19 09:15:00,2025-06-26 09:15:00,2107 days 00:00:00,100000.0,160231.104526,60.231105,266.737505,100.0,880.392657,12.393839,1024 days 00:00:00,7,7,0,0.0,57.142857,28.066574,-10.750342,22.009921,-9.739493,37 days 06:00:00,17 days 16:00:00,2.607754,8604.443504,0.763133,0.69795,1.496105,0.482531
3IINFOLTD,Success,0.008405999999922642,0.00022480000006908085,0.0005148000000190223,4.669999998441199e-05,0.011085099999945669,2005-04-22 09:15:00,2025-06-26 09:15:00,7370 days 00:00:00,100000.0,147196.328738,47.196329,-94.797146,100.0,2407.357209,56.539658,3171 days 00:00:00,15,15,0,0.0,40.0,44.85147,-20.127033,33.553717,-13.498239,60 days 16:00:00,84 days 13:20:00,1.222464,3146.421916,0.196463,0.035147,1.092494,0.154434
3MINDIA,Success,0.010248300000057498,0.0002823000004354981,0.0005254999996395782,5.18000006195507e-05,0.013382800000727002,1995-01-23 09:15:00,2025-06-26 09:15:00,11112 days 00:00:00,100000.0,207419.750741,107.419751,13521.428571,100.0,3408.964518,30.704769,2631 days 00:00:00,21,21,0,0.0,38.095238,35.827088,-9.501241,23.867991,-6.84905,52 days 03:00:00,27 days 00:00:00,1.726232,5115.226226,0.315494,0.082939,1.24494,0.151
3PLAND,Success,0.007512499999393185,0.0002147999994122074,0.0005435000002762536,5.739999960496789e-05,0.010124899999937043,2008-03-28 09:15:00,2025-06-26 09:15:00,6299 days 00:00:00,100000.0,65355.737378,-34.644263,157.48913,100.0,736.341595,48.589428,3423 days 00:00:00,10,10,0,0.0,20.0,41.300459,-19.892664,40.386922,-12.573492,19 days 00:00:00,18 days 12:00:00,0.5844,-3464.426262,-0.100584,-0.064238,0.881053,-0.039793
5PAISA,Success,0.004707600000074308,0.00017740000021149172,0.0004644999999072752,3.549999928509351e-05,0.00718589999996766,2017-11-16 09:15:00,2025-06-26 09:15:00,2779 days 00:00:00,100000.0,51708.40504,-48.291595,77.755281,100.0,772.349625,63.822518,2584 days 00:00:00,9,9,0,0.0,11.111111,36.2418,-14.157389,36.2418,-11.201834,92 days 00:00:00,22 days 00:00:00,0.426509,-5365.732773,-0.58228,-0.132238,0.727696,-0.273927
63MOONS,Success,0.008230399999774818,0.00021949999973003287,0.0004752000004373258,4.129999979340937e-05,0.010645299999850977,2006-11-02 09:15:00,2025-06-26 09:15:00,6811 days 00:00:00,100000.0,40610.753047,-59.389247,-41.222956,100.0,487.81807,71.323334,5638 days 00:00:00,8,8,0,0.0,0.0,-6.553149,-16.759433,0.0,-10.443693,0 days 00:00:00,82 days 00:00:00,0.0,-7423.655869,-0.32615,-0.067406,0.839835,-0.148946
A2ZINFRA,Success,0.007197099999757484,0.00020390000008774223,0.0004555000004984322,3.80000001314329e-05,0.009602099999938218,2010-12-23 09:15:00,2025-06-26 09:15:00,5299 days 00:00:00,100000.0,88217.633441,-11.782367,-93.967432,100.0,850.936293,47.5863,1764 days 00:00:00,9,9,0,0.0,33.333333,38.776101,-20.899805,29.189142,-13.292201,37 days 08:00:00,55 days 16:00:00,0.856612,-1309.15184,0.026279,-0.018422,1.015305,0.014045
AAATECH,Success,0.002365000000281725,0.00017099999968195334,0.0004502000001593842,2.8200000087963417e-05,0.004471999999623222,2022-11-28 09:15:00,2025-06-26 09:15:00,941 days 00:00:00,100000.0,85913.045301,-14.086955,5.879365,100.0,87.195835,17.628024,251 days 00:00:00,2,1,1,-1203.909711,0.0,-12.70971,-12.70971,0.0,-12.70971,0 days 00:00:00,16 days 00:00:00,0.0,-12883.044987,-0.859655,-0.328709,0.392241,-0.196812
AADHARHFC,Success,0.0019330000004629255,0.00015359999997599516,0.00039789999937056564,2.860000040527666e-05,0.0041790000004766625,2024-05-15 09:15:00,2025-06-26 09:15:00,407 days 00:00:00,100000.0,89070.802418,-10.929198,34.770067,100.0,88.959061,27.412806,275 days 00:00:00,1,1,0,0.0,0.0,-10.772901,-10.772901,0.0,-10.772901,0 days 00:00:00,172 days 00:00:00,0.0,-10929.197582,-0.316047,-0.362092,0.92187,-0.354105
AAKASH,Success,0.003366500000083761,0.000168600000506558,0.00040549999994254904,2.9099999665049836e-05,0.005522499999642605,2020-09-29 09:15:00,2025-06-26 09:15:00,1731 days 00:00:00,100000.0,90027.231246,-9.972769,127.497532,100.0,185.401225,9.972769,1731 days 00:00:00,2,2,0,0.0,0.0,-4.610581,-5.243652,0.0,-4.927116,0 days 00:00:00,10 days 12:00:00,0.0,-4986.384377,-0.805081,-0.223029,0.350699,-0.214738
AAREYDRUGS,Success,0.0030077999999775784,0.00015689999963797163,0.00044770000022253953,2.919999951700447e-05,0.0050774000001183595,2021-08-06 09:15:00,2025-06-26 09:15:00,1420 days 00:00:00,100000.0,106656.04188,6.656042,49.365635,100.0,315.138843,26.870729,371 days 00:00:00,3,3,0,0.0,33.333333,34.512784,-10.900954,34.512784,-10.684991,83 days 00:00:00,66 days 00:00:00,1.279896,2218.680627,0.180542,0.063154,1.092263,0.169277
AARON,Success,0.0035120000002279994,0.00017889999980980065,0.0004949999993186793,3.5999999454361387e-05,0.005980400000225927,2020-11-06 09:15:00,2025-06-26 09:15:00,1693 days 00:00:00,100000.0,205416.214257,105.416214,1011.620761,100.0,350.556675,15.131256,88 days 00:00:00,2,2,0,0.0,100.0,45.17271,42.092921,43.632815,0.0,75 days 12:00:00,0 days 00:00:00,inf,52708.107128,1.140214,1.129236,1.873891,0.792887
AARTECH,Success,0.0023799000000508386,0.00015019999955256935,0.00043370000003051246,3.440000000409782e-05,0.004412100000081409,2023-07-10 09:15:00,2025-06-26 09:15:00,717 days 00:00:00,100000.0,88111.34817,-11.888652,86.7208,100.0,88.181304,15.767385,591 days 15:00:00,1,1,0,0.0,0.0,-11.714424,-11.714424,0.0,-11.714424,0 days 00:00:00,57 days 00:00:00,0.0,-11888.65183,-0.548786,-0.400472,0.736278,-0.294879
AARTIDRUGS,Success,0.008972600000561215,0.0002447000006213784,0.0006894999996802653,4.4100000195612665e-05,0.01192810000065947,2003-09-19 09:15:00,2025-06-26 09:15:00,7951 days 00:00:00,100000.0,103468.103508,3.468104,4072.365242,100.0,1449.983903,34.74405,3620 days 00:00:00,15,15,0,0.0,33.333333,42.234742,-14.206308,25.992001,-10.209987,24 days 19:12:00,54 days 04:48:00,1.032763,231.206901,0.073853,0.004599,1.051348,0.033463
AARTIIND,Success,0.010211699999672419,0.0002527999995436403,0.00046489999931509374,4.840000019612489e-05,0.013324999999895226,1999-01-01 09:15:00,2025-06-26 09:15:00,9673 days 00:00:00,100000.0,189182.873136,89.182873,50019.921839,100.0,2918.75439,38.717661,4212 days 00:00:00,23,22,1,8353.533482,36.363636,36.001139,-13.855008,27.097683,-8.656034,71 days 18:00:00,28 days 13:42:51,1.501047,3674.060893,0.262492,0.066255,1.149896,0.126435
AARTIPHARM,Success,0.002815499999996973,0.00015489999987039482,0.00045200000022305176,3.090000063821208e-05,0.0049917000005734735,2023-01-30 09:15:00,2025-06-26 09:15:00,878 days 00:00:00,100000.0,114053.964037,14.053964,202.810061,100.0,205.17274,19.232055,161 days 00:00:00,2,2,0,0.0,50.0,25.186419,-8.467394,25.186419,-8.467394,196 days 00:00:00,4 days 00:00:00,2.626318,7026.982019,0.365167,0.296784,1.136764,0.386211
AARTISURF,Success,0.003531700000166893,0.00015660000008210773,0.00044919999982084846,2.790000053209951e-05,0.005564899999626505,2020-07-14 09:15:00,2025-06-26 09:15:00,1808 days 00:00:00,100000.0,96229.683182,-3.770317,16.952977,100.0,407.074049,20.886718,989 days 00:00:00,4,4,0,0.0,25.0,28.684558,-9.090357,28.684558,-8.941888,43 days 00:00:00,26 days 16:00:00,0.871144,-942.579204,-0.015476,-0.03749,0.987937,-0.008445
AARVEEDEN,Success,0.008970799999588053,0.0002517000002626446,0.0004910000006930204,4.2499999835854396e-05,0.011577300000681134,2006-11-21 09:15:00,2025-06-26 09:15:00,6792 days 00:00:00,100000.0,95877.810015,-4.12219,168.364606,100.0,678.080693,60.336451,6671 days 00:00:00,9,9,0,0.0,33.333333,41.698607,-19.770008,33.381952,-13.650531,37 days 08:00:00,41 days 08:00:00,0.937071,-458.021109,0.051046,-0.003955,1.043458,0.020909
AARVI,Success,0.00321189999976923,0.00015910000001895241,0.00047619999986636685,3.419999939069385e-05,0.005574700000579469,2020-06-24 09:15:00,2025-06-26 09:15:00,1828 days 00:00:00,100000.0,183459.601878,83.459602,349.514152,100.0,527.944,25.083566,82 days 00:00:00,3,3,0,0.0,66.666667,53.794778,-11.750883,44.896162,-11.750883,111 days 00:00:00,4 days 00:00:00,4.359695,27819.867293,0.663487,0.521014,1.394025,0.45548
