symbol,strategy,numba_status,vbt_status,numba_trades,vbt_trades,numba_return,vbt_return,numba_sharpe,vbt_sharpe
20MICRONS,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
21STCENMGM,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
360ONE,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
3IINFOLTD,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
3MINDIA,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
3PLAND,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
5PAISA,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
63MOONS,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
A2ZINFRA,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AAATECH,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AADHARHFC,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AAKASH,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AAREYDRUGS,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AARON,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AARTECH,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AARTIDRUGS,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AARTIIND,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
AARTIPHARM,"tf(rsi(close, 14) > 70, 'daily') AND tf(rsi(close, 14) < 30, 'weekly')",Success,Success,0.0,0.0,0.0,0.0,,inf
